Wall time,Step,Value
1524578168.6776505,0,0.24718180298805237
1524578212.1487942,85,0.24751299619674683
1524578294.8819005,185,0.2476056069135666
1524578332.4860864,236,0.2476453334093094
1524578392.3202147,350,0.24771423637866974
1524578452.3781912,465,0.2477738857269287
1524578512.1314662,580,0.2478230595588684
1524578572.185836,695,0.24786320328712463
1524578632.2059028,809,0.2479029893875122
1524578692.3607628,924,0.24793556332588196
1524578752.2976854,1038,0.24796341359615326
1524578812.5387247,1138,0.24798603355884552
1524578872.4900696,1250,0.2480086237192154
1524578932.2414842,1364,0.2480309009552002
1524578992.2164912,1478,0.24805009365081787
1524579052.453675,1593,0.24807342886924744
1524579112.36524,1707,0.24809865653514862
1524579172.28161,1822,0.24812866747379303
1524579232.1179445,1936,0.24814750254154205
1524579292.4051976,2051,0.2481604814529419
1524579352.3693326,2165,0.24816973507404327
1524579412.0966172,2278,0.24818110466003418
1524579472.1529424,2377,0.24819640815258026
1524579532.2252653,2491,0.24821072816848755
1524579592.2464154,2606,0.24822010099887848
1524579652.2717369,2720,0.24823006987571716
1524579712.3986335,2835,0.24824146926403046
1524579772.2700605,2949,0.2482508420944214
1524579832.3767612,3064,0.24825985729694366
1524579892.2147012,3178,0.24826589226722717
1524579952.2376206,3293,0.2482716143131256
1524580012.1316733,3405,0.24827782809734344
1524580072.287877,3520,0.24828563630580902
1524580132.259396,3618,0.24829289317131042
1524580192.2477515,3732,0.24829944968223572
1524580252.0879931,3847,0.24830178916454315
1524580312.2145782,3961,0.2483018934726715
1524580372.155991,4076,0.24830232560634613
1524580432.2586918,4190,0.2483046054840088
1524580492.2896886,4305,0.24830859899520874
1524580552.505487,4420,0.24831128120422363
1524580612.758427,4527,0.2483094334602356
1524580672.2502987,4631,0.2483120709657669
1524580732.1674986,4745,0.24831323325634003
1524580792.1882534,4860,0.24831345677375793
1524580852.4542708,4975,0.24831697344779968
1524580912.1104577,5089,0.2483196258544922
1524580972.231212,5203,0.2483161836862564
1524581032.3752844,5318,0.24831713736057281
1524581092.1153402,5432,0.24832367897033691
1524581152.492994,5547,0.2483273446559906
1524581212.0944939,5660,0.24832506477832794
1524581272.5409136,5765,0.248322531580925
1524581332.4337502,5873,0.24832181632518768
1524581392.4542758,5988,0.24831810593605042
1524581452.3541255,6102,0.24831773340702057
1524581512.169761,6217,0.24831733107566833
1524581572.3278975,6331,0.24832439422607422
1524581632.1789215,6446,0.24832265079021454
1524581692.352076,6561,0.24831977486610413
1524581752.1036077,6675,0.24831564724445343
1524581812.2875025,6772,0.24831299483776093
1524581872.3359697,6887,0.24831317365169525
1524581932.359981,7002,0.24831125140190125
1524581992.1981802,7116,0.24831099808216095
1524582052.0753603,7231,0.24830730259418488
1524582112.223871,7346,0.2483053058385849
1524582172.3076992,7460,0.2483018934726715
1524582232.317884,7575,0.2482975870370865
1524582292.0815625,7690,0.24829654395580292
1524582352.3671153,7805,0.2482946366071701
1524582412.4102616,7919,0.2482883185148239
1524582472.217476,8017,0.24828267097473145
1524582532.2767897,8132,0.2482803910970688
1524582592.2750027,8246,0.24828025698661804
1524582652.2334938,8361,0.24827498197555542
1524582712.3672261,8476,0.248271182179451
1524582772.4064257,8591,0.24826472997665405
1524582832.3303475,8705,0.2482576221227646
1524582892.1168337,8820,0.24825185537338257
1524582952.4714217,8935,0.2482481747865677
1524583012.1159852,9048,0.2482471615076065
1524583072.5906014,9162,0.24823841452598572
1524583132.3065338,9261,0.2482345849275589
1524583192.204777,9376,0.24823004007339478
1524583252.0460672,9490,0.24822582304477692
1524583312.364357,9605,0.2482215315103531
1524583372.0983946,9720,0.24821612238883972
1524583432.3288987,9835,0.24821123480796814
1524583492.0548594,9949,0.2482084184885025
1524583552.4940648,10064,0.24820482730865479
1524583612.3535516,10167,0.24820607900619507
1524583672.2896962,10275,0.2481987625360489
1524583732.3736424,10390,0.24819491803646088
1524583792.1439238,10504,0.24818813800811768
1524583852.087894,10619,0.24818545579910278
1524583912.3053746,10734,0.2482134848833084
1524583972.1777344,10848,0.24821026623249054
1524584032.159185,10963,0.24820157885551453
1524584092.2724242,11078,0.24819415807724
1524584152.3898063,11192,0.24818815290927887
1524584212.4053712,11306,0.2481868863105774
1524584272.3957558,11408,0.24818311631679535
1524584332.1440632,11519,0.2481745332479477
1524584392.4185305,11634,0.2481696903705597
1524584452.3572433,11748,0.2481631487607956
1524584512.1937463,11863,0.2481544464826584
1524584572.3762906,11978,0.2481461763381958
1524584632.313349,12092,0.24814599752426147
1524584692.2094016,12207,0.2481379359960556
1524584752.2199225,12321,0.2481323778629303
1524584812.4416862,12419,0.24812519550323486
1524584872.319864,12533,0.24811841547489166
1524584932.4062874,12648,0.24811270833015442
1524584992.3893106,12762,0.24810677766799927
1524585052.2998774,12876,0.24809473752975464
1524585112.2299905,12990,0.24808518588542938
