Wall time,Step,Value
1526472003.6086795,0,3.037365436553955
1526472809.163357,1486,0.28637945652008057
1526473196.8231614,2511,0.18537569046020508
1526473796.0787556,4090,0.15043050050735474
1526474398.8707328,5667,0.1135343387722969
1526474999.2748036,7245,0.10595571994781494
1526475599.7439027,8820,0.095112644135952
1526476202.1869493,10397,0.09126590192317963
1526476800.8865728,11976,0.076742984354496
1526477410.6913877,13548,0.08755885809659958
1526478012.6953018,15097,0.06978747248649597
1526478602.0169985,16664,0.06637921929359436
1526479203.162362,18243,0.053627848625183105
1526479803.2742348,19828,0.060774944722652435
1526480402.9960825,21405,0.05225874483585358
1526481008.6517618,22972,0.0553552508354187
1526481605.3910947,24555,0.04914093017578125
1526482204.9234867,26138,0.03871535882353783
1526482805.5225224,27723,0.034862201660871506
1526483404.3795626,29307,0.033166177570819855
1526484007.3660765,30892,0.03287152945995331
1526484606.994291,32472,0.031793247908353806
1526485210.2399852,34049,0.03124159574508667
1526485807.9697971,35627,0.03151284530758858
1526486407.3251321,37204,0.03076806105673313
1526487007.4924593,38783,0.030391013249754906
1526487607.262639,40358,0.03047339990735054
1526488207.6712875,41934,0.02991800382733345
1526488806.05376,43510,0.029484016820788383
1526489406.6646225,45086,0.02913700044155121
1526490008.0728278,46661,0.029283110052347183
1526490608.4805326,48236,0.0294200386852026
1526491207.8564563,49814,0.02891063131392002
1526491809.0365536,51388,0.02886066399514675
1526492407.6000679,52964,0.028872696682810783
1526493009.9053671,54538,0.02885277383029461
1526493610.216722,56109,0.028776519000530243
1526494214.0157585,57684,0.028807342052459717
1526494814.7673416,59258,0.028729721903800964
1526495416.9057932,60831,0.028742818161845207
1526496016.8564208,62402,0.028913186863064766
1526496616.3032436,63975,0.02875681221485138
1526497218.7205863,65551,0.028644787147641182
1526497816.963261,67123,0.02867981046438217
1526498416.2463648,68699,0.028720229864120483
1526499019.334446,70273,0.028666798025369644
1526499616.5576046,71846,0.02861577272415161
1526500216.015184,73421,0.02867046929895878
1526500813.3818846,74994,0.028713639825582504
1526501416.3255227,76567,0.028539247810840607
1526501953.0200496,78145,0.02852298505604267
1526502552.0043383,79720,0.028572693467140198
1526503152.3380237,81293,0.028572965413331985
1526503753.0115333,82865,0.028503291308879852
1526504358.1745327,84437,0.02850181609392166
1526504956.0078561,86012,0.02843296341598034
1526505554.5213425,87586,0.028492577373981476
1526506154.5649126,89161,0.028697840869426727
1526506755.395659,90732,0.028474079445004463
1526507355.56266,92307,0.028482455760240555
1526507955.7665913,93885,0.028476374223828316
1526508560.1914766,95460,0.02849709428846836
1526509161.6320214,97037,0.028422890231013298
1526509757.7216356,98611,0.0283746849745512
