Wall time,Step,Value
1523369348.7622888,0,0.0
1523369393.0270185,100,0.0
1523369453.1748788,246,0.0
1523369513.1472232,392,0.0
1523369572.9516788,538,0.0
1523369633.0828679,670,0.0
1523369693.2103434,818,0.0
1523369753.063549,966,0.0
1523369812.9442275,1114,0.0
1523369872.979098,1262,0.0
1523369933.096702,1409,0.0
1523369993.035986,1555,0.0
1523370053.187564,1703,0.0
1523370113.1153016,1850,0.0
1523370173.1679614,1997,0.0
1523370233.1752157,2128,0.0
1523370293.124153,2275,0.0
1523370353.155583,2423,0.0
1523370413.0098896,2569,0.0
1523370473.1059787,2716,0.0
1523370533.3165193,2864,0.0
1523370592.9955592,3009,0.0
1523370652.966311,3156,0.0
1523370713.0436285,3303,0.0
1523370773.1260664,3450,0.0
1523370833.0284915,3582,0.0
1523370893.1726978,3730,0.0
1523370953.0312335,3876,0.0
1523371013.1451414,4024,0.0
1523371072.971328,4169,0.0
1523371133.0486968,4316,0.0
1523371193.1569726,4462,0.0
1523371253.2586272,4609,0.0
1523371312.8904388,4755,0.0
1523371373.026426,4902,0.0
1523371433.0247483,5034,0.0
1523371493.047194,5180,0.0
1523371553.0033612,5327,0.0
1523371613.229504,5474,0.0
1523371673.1632092,5620,0.0
1523371733.2129235,5767,0.0
1523371793.1061392,5911,0.0
1523371853.0481439,6058,0.0
1523371913.154615,6205,0.0
1523371973.1161864,6352,0.0
1523372033.1511073,6483,0.0
1523372093.0465662,6629,0.0
1523372153.159758,6776,0.0
1523372213.078938,6923,0.0
1523372272.9765544,7070,0.0
1523372333.231127,7217,0.0
1523372393.0686002,7362,0.0
1523372452.993222,7509,0.0
1523372513.1941173,7656,0.0
1523372573.1972594,7803,0.0
1523372633.011765,7933,0.0
1523372693.1535792,8080,0.0
1523372753.2411344,8227,0.0
1523372813.020607,8373,0.0
1523372872.9998877,8519,0.0
1523372933.0694978,8666,0.0
1523372993.0845332,8811,0.0
1523373053.0571659,8958,0.0
1523373113.064479,9105,0.0
1523373172.9447715,9251,0.0
1523373233.1061227,9383,0.0
1523373293.0239882,9529,0.0
1523373353.1031127,9676,0.0
1523373413.0263188,9822,0.0
1523373473.1210508,9969,0.0
1523373533.0485873,10116,0.0
1523373593.1436079,10262,0.0
1523373652.9732924,10408,0.0
1523373713.1925073,10556,0.0
1523373772.983253,10702,0.0
1523373833.0510907,10834,0.0
1523373893.0481143,10981,0.0
1523373953.1757252,11128,0.0
1523374013.0190592,11274,0.0
1523374073.0452404,11420,0.0
1523374133.1552277,11567,0.0
1523374193.0805252,11712,0.0
1523374253.0617082,11859,0.0
1523374312.875381,12006,0.0
1523374373.199305,12154,0.0
1523374433.063431,12285,0.0
1523374493.116376,12432,0.0
1523374553.0594738,12578,0.0
1523374613.0549254,12725,0.0
1523374673.0440135,12871,0.0
1523374733.2690408,13019,0.0
1523374793.0390716,13163,0.0
1523374853.0724556,13310,0.0
1523374913.0674734,13457,0.0
1523374973.0552309,13604,0.0
1523375033.039368,13735,0.0
1523375093.0805166,13882,0.0
1523375152.9915361,14028,0.0
1523375213.0129695,14175,0.0
1523375273.1900232,14323,0.0
1523375333.2353384,14470,0.0
1523375393.0365777,14614,0.0
1523375453.1733472,14761,0.0
1523375513.2234817,14908,0.0
1523375572.941875,15054,0.0
1523375633.1153498,15186,0.0
1523375693.0668366,15333,0.0
1523375753.1914876,15480,0.0
1523375813.1657276,15627,0.0
1523375873.0047586,15774,0.0
1523375933.2142627,15921,0.0
1523375993.0651047,16066,0.0
1523376053.2051096,16213,0.0
1523376113.1471338,16360,0.0
1523376173.2512388,16507,0.0
1523376233.1001995,16638,0.0
1523376293.0695143,16785,0.0
1523376353.0346124,16932,0.0
1523376413.1418333,17079,0.0
1523376473.038763,17225,0.0
1523376533.1692266,17372,0.0
1523376593.0354214,17518,0.0
1523376653.1184535,17666,0.0
1523376713.3346634,17814,0.0
1523376773.0564866,17960,0.0
1523376833.0864456,18092,0.0
1523376893.0171998,18238,0.0
1523376953.1034403,18385,0.0
1523377013.0763896,18532,0.0
1523377073.1828537,18679,0.0
1523377133.0908456,18825,0.0
1523377192.9940064,18972,0.0
1523377253.1920745,19120,0.0
1523377313.190187,19266,0.0
1523377373.0571423,19413,0.0
1523377433.0663712,19545,0.0
1523377493.0824642,19692,0.0
1523377552.9421587,19838,0.0
1523377613.0383456,19985,0.0
1523377672.976419,20132,0.0
1523377733.2642865,20279,0.0
1523377793.113613,20424,0.0
1523377853.1724527,20571,0.0
1523377913.0660818,20718,0.0
1523377973.0150578,20865,0.0
1523378033.0912144,20996,0.0
1523378093.0639234,21143,0.0
1523378153.0261972,21289,0.0
1523378213.019597,21436,0.0
1523378273.1372259,21583,0.0
1523378333.2489314,21730,0.0
1523378393.195191,21875,0.0
1523378453.2104862,22022,0.0
1523378513.1802578,22169,0.0
1523378573.089889,22315,0.0
1523378633.060822,22447,0.0
1523378693.078563,22594,0.0
1523378752.939507,22741,0.0
1523378812.9032753,22888,0.0
1523378873.1126556,23036,0.0
1523378933.2916167,23183,0.0
1523378993.0702155,23328,0.0
1523379053.060137,23475,0.0
1523379113.0398724,23622,0.0
