Wall time,Step,Value
1526280684.8738763,0,0.0190304946154356
1526281077.9605715,5781,0.009387273341417313
1526281677.5742054,12502,0.003917108289897442
1526282276.9856968,19277,0.0035254645626991987
1526282874.2801685,26067,0.0032729720696806908
1526283479.95819,32703,0.003001475241035223
1526284080.083908,39467,0.003221652237698436
1526284679.7800844,46302,0.002967625157907605
1526285276.1887977,53170,0.0027632340788841248
1526285874.1323397,59982,0.002645811066031456
1526286480.0292974,66781,0.002578958636149764
1526287081.0524557,73556,0.0025824683252722025
1526287679.304005,80359,0.0025152855087071657
1526288278.123659,87194,0.002402164041996002
1526288875.8697257,93901,0.002439559670165181
1526289403.7113824,100000,0.0026111833285540342
