Wall time,Step,Value
1524215258.8036668,0,0.6879186630249023
1524215318.3914816,256,0.021684883162379265
1524215375.8701708,561,0.015890173614025116
1524215435.76944,863,0.009277272038161755
1524215495.7491057,1229,0.004677941091358662
1524215555.7048328,1588,0.003554118564352393
1524215615.6877837,2019,0.0022936195600777864
1524215675.6727827,2642,0.0012974021956324577
1524215735.6797726,3267,0.002309399424120784
1524215795.6835904,3881,0.0010629596654325724
1524215855.7066448,4497,9.232484444510192e-05
1524215915.7338643,4912,9.184095688397065e-05
1524215975.9813344,5266,0.0011672022519633174
1524216035.8189325,5565,0.00016932062862906605
1524216095.7753592,5926,0.0033206790685653687
1524216155.6919994,6413,0.0026580689009279013
1524216215.6800487,7029,0.00034378940472379327
1524216275.6857855,7645,0.0002156449918402359
1524216335.6792634,8264,0.0005496066296473145
1524216395.6878846,8886,0.0002944890293292701
1524216455.7066333,9505,0.0008808099082671106
1524216515.673625,9982,7.176904182415456e-05
1524216575.7696767,10353,0.0004451391869224608
1524216635.8492055,10719,0.0010303693125024438
1524216695.8216374,11086,0.00010691874194890261
1524216755.7510893,11456,0.00018465871107764542
1524216815.685991,11994,0.00023077770310919732
1524216875.6736302,12612,0.0005642667529173195
1524216935.6723804,13227,0.00013676364324055612
1524216995.6960516,13835,0.0005126833566464484
1524217055.7108848,14445,0.0005871272878721356
1524217115.6966476,15054,0.0007375449640676379
1524217175.7335632,15480,3.222359009669162e-05
1524217235.7468774,15840,0.0003570285043679178
1524217295.8020205,16212,0.0004414503346197307
1524217355.8005278,16583,4.324422116042115e-05
1524217415.811579,16951,0.00022638140944764018
1524217475.673725,17538,0.0004088446730747819
1524217535.6752207,18147,0.00021297542843967676
1524217595.6941946,18762,0.00014850732986815274
1524217655.6735265,19382,0.00025142639060504735
1524217715.8013005,19871,0.0003051718813367188
1524217775.8640227,20234,4.891428034170531e-05
1524217835.8295639,20525,0.00017366372048854828
1524217895.722662,20885,0.00029934782651253045
1524217955.666148,21312,0.0003643436066340655
1524218015.682409,21935,0.0003888214996550232
1524218075.67642,22551,0.00017169855709653348
1524218135.6803808,23169,0.00010552969615673646
