Wall time,Step,Value
1528717152.7073395,1487,0.003960307687520981
1528717212.549117,1982,0.004001871682703495
1528717470.3911598,3641,0.005000162869691849
1528717732.567802,5341,0.005034992936998606
1528717987.3454032,7130,0.005182571243494749
1528718257.8623657,9519,0.004560082219541073
1528718597.4331858,11119,0.00460953451693058
1528718655.7373073,12533,0.005447411444038153
1528718913.5847328,14138,0.00519970990717411
1528719174.0637417,15798,0.005159883759915829
1528719433.2900264,17688,0.0053620850667357445
1528719694.3968208,20020,0.0044024111703038216
1528719823.898902,21692,0.005370339844375849
1528720075.8023207,23619,0.004804067313671112
1528720344.6314156,25763,0.004123831633478403
1528720597.0299878,27449,0.003946167416870594
1528720864.7800522,29824,0.005524886306375265
1528721125.5185456,31493,0.0041895098984241486
1528721386.2155044,33239,0.004436008632183075
1528721515.7183733,35735,0.004517159890383482
1528721774.6945162,37405,0.004530266858637333
1528722027.6239028,39183,0.003985647577792406
1528722296.39571,41489,0.0034744269214570522
1528722555.3942895,43158,0.004045593552291393
1528722815.983956,45003,0.003687395015731454
1528722944.9649403,47449,0.00398986367508769
1528723204.9603786,49129,0.004343722481280565
1528723456.4729733,50994,0.004598050843924284
1528723725.5382915,53232,0.004340830724686384
1528723986.6583178,54914,0.004223879426717758
1528724246.8680122,56847,0.004301105160266161
1528724506.0473864,59186,0.004201414529234171
1528724636.1171863,60859,0.004200069233775139
1528724888.0448995,62807,0.004244829993695021
1528725156.901595,64953,0.003972156438976526
1528725408.7784116,66639,0.003996791318058968
1528725676.2528315,69047,0.004207958467304707
1528725936.9464011,70716,0.0038236870896071196
1528726058.5438683,72459,0.004078540951013565
1528726326.3152628,74810,0.003779287450015545
1528726587.518634,76466,0.0036354803014546633
1528726838.6599417,78271,0.0036856848746538162
1528727107.644261,80586,0.0038380881305783987
1528727367.4057994,82257,0.003640245646238327
1528727628.7698312,84111,0.003818717086687684
1528727756.6715071,86531,0.003557843854650855
1528728018.175958,88200,0.0036362868268042803
1528728271.4706566,90069,0.0034207720309495926
1528728537.9359858,92253,0.003579871030524373
1528728798.3635957,93926,0.003591908374801278
1528729061.0684788,95805,0.0034375733230262995
1528729189.5119677,98116,0.0034744038712233305
1528729432.4915216,99771,0.0034099773038178682
